City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Dwarka,IN,22.24,68.97,73.17,43,0,12.12,clear sky
299,Blagoyevo,RU,63.37,47.92,6.46,95,92,3.33,overcast clouds
300,Shingu,JP,33.73,135.98,49.19,48,0,10.76,clear sky
301,Te Anau,NZ,-45.42,167.72,47.53,96,100,5.48,light rain
302,Port-Cartier,CA,50.03,-66.87,-0.18,81,100,7.7,overcast clouds
303,Nabire,ID,-3.37,135.48,80.62,87,98,4.21,overcast clouds
304,Isangel,VU,-19.55,169.27,80.29,87,100,6.02,moderate rain
305,Hobyo,SO,5.35,48.53,81.57,57,27,22.08,scattered clouds
306,Hasaki,JP,35.73,140.83,46.29,68,100,1.5,overcast clouds
307,Tancheng,CN,27.44,115.50,45.14,71,92,6.33,overcast clouds
308,Kibuye,RW,-2.06,29.35,70.11,63,92,2.1,overcast clouds
309,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.79,43,75,11.18,broken clouds
310,Sao Joao Da Barra,BR,-21.64,-41.05,73.42,93,95,5.32,overcast clouds
311,Valley,US,45.13,-116.13,7.41,94,16,3.85,few clouds
312,Vostok,RU,46.49,135.88,-1.86,98,100,4.38,overcast clouds
313,Muros,ES,42.78,-9.06,52.3,94,100,7.09,overcast clouds
314,Karaidel,RU,55.83,56.91,32.13,90,100,9.55,snow
315,Maryborough,AU,-25.53,152.70,80.11,68,48,13.96,scattered clouds
316,Esso,RU,55.93,158.70,9.77,98,100,3.49,overcast clouds
317,Darhan,MN,49.49,105.92,6.49,85,85,2.53,overcast clouds
318,Smithers,CA,54.78,-127.17,23.32,93,100,3.44,light snow
319,Fairview,US,40.81,-74.00,56.21,89,100,6.91,light rain
320,Port Macquarie,AU,-31.43,152.92,71.56,66,69,19.53,broken clouds
321,Bambanglipuro,ID,-7.95,110.28,84.96,67,100,7.2,overcast clouds
322,Valparaiso,CL,-33.04,-71.63,61.72,88,0,4.61,clear sky
323,Koumac,NC,-20.57,164.28,82.22,81,97,3.11,overcast clouds
324,Ginir,ET,7.13,40.70,74.57,15,89,8.7,overcast clouds
325,Airai,TL,-8.93,125.41,67.32,82,100,3.74,light rain
326,Kuching,MY,1.55,110.33,84.42,74,40,6.91,light rain
327,Sao Geraldo Do Araguaia,BR,-6.40,-48.55,72.03,97,100,1.32,overcast clouds
328,Port-Gentil,GA,-0.72,8.78,78.76,94,40,0.0,scattered clouds
329,Carauari,BR,-4.88,-66.90,72.7,98,100,2.28,light rain
330,Nome,US,64.50,-165.41,7.11,56,0,26.46,clear sky
331,Bambous Virieux,MU,-20.34,57.76,84.45,84,75,26.46,light rain
332,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,73.0,84,72,4.12,broken clouds
333,Puerto Del Rosario,ES,28.50,-13.86,67.75,37,0,9.22,clear sky
334,Ahuimanu,US,21.44,-157.84,71.31,74,20,3.44,few clouds
335,Kudahuvadhoo,MV,2.67,72.89,81.77,70,38,7.43,scattered clouds
336,Itoman,JP,26.12,127.67,62.98,77,75,24.16,broken clouds
337,Sao Borja,BR,-28.66,-56.00,70.95,97,38,5.59,scattered clouds
338,Dali,CN,25.70,100.18,58.57,36,19,8.12,few clouds
339,Buala,SB,-8.14,159.59,80.55,82,100,4.45,light rain
340,Puri,IN,19.80,85.85,82.92,69,100,19.84,overcast clouds
341,Lorengau,PG,-2.02,147.27,82.09,67,100,8.37,overcast clouds
342,Iqaluit,CA,63.75,-68.51,-7.87,64,100,10.36,light snow
343,Tazmalt,DZ,36.39,4.40,55.2,45,29,6.64,scattered clouds
344,Kedougou,SN,12.56,-12.17,68.58,30,0,0.0,haze
345,San Quintin,MX,30.48,-115.95,53.92,60,0,2.15,clear sky
346,Huilong,CN,31.81,121.66,46.98,44,4,8.37,clear sky
347,Manokwari,ID,-0.87,134.08,81.5,75,49,3.31,scattered clouds
348,Nanpiao,CN,41.10,120.75,18.45,59,0,9.98,clear sky
349,Hata,IN,26.75,83.74,60.64,84,100,10.67,overcast clouds
350,Blyth,GB,55.13,-1.51,40.28,83,0,4.0,clear sky
351,San Cristobal,VE,7.77,-72.22,65.71,85,72,2.8,broken clouds
352,Yar-Sale,RU,66.83,70.83,0.9,97,94,4.83,overcast clouds
353,Morro Bay,US,35.37,-120.85,48.33,85,4,1.01,clear sky
354,Samarai,PG,-10.62,150.67,84.04,75,92,6.42,overcast clouds
355,Flinders,AU,-34.58,150.86,74.21,60,52,15.1,broken clouds
356,San Isidro,PE,-12.12,-77.05,68.02,85,0,5.75,clear sky
357,Takoradi,GH,4.88,-1.76,80.56,75,6,1.03,clear sky
358,Baijiantan,CN,45.63,85.18,12.99,77,100,1.95,overcast clouds
359,Santo Antonio Do Ica,BR,-3.10,-67.94,71.74,99,100,0.89,moderate rain
360,Imamoglu,TR,37.27,35.66,51.51,90,100,3.74,overcast clouds
361,Yarada,IN,17.65,83.27,84.52,54,40,11.5,haze
362,Acapulco,MX,16.86,-99.89,72.19,77,0,4.03,clear sky
